"2025–26 ISIR Record Layout 
400,N/A ,3388,3390,3,None,"Student Adjusted Gross Income Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
401,N/A ,3391,3393,3,None,"Student Income Tax Paid Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
402,N/A ,3394,3396,3,None,"Student Earned Income Tax Credit Received During Tax Year? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
403,N/A ,3397,3399,3,None,"Student Deductible Payments to IRA, Keogh, Other Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
404,N/A ,3400,3402,3,None,"Student Education Credits Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
405,N/A ,3403,3405,3,None,"Student Filed Schedule A, B, D, E, F or H? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
406,N/A ,3406,3408,3,None,"Student Schedule C Amount Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
407,N/A ,3409,3411,3,None,"Student College Grant and Scholarship Aid Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
408,N/A ,3412,3414,3,None,"Student Foreign Earned Income Exclusion Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
409,N/A ,3415,3417,3,None,"Student Child Support Received Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
410,N/A ,3418,3420,3,None,"Student Net Worth of Businesses and Investment Farms Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
411,N/A ,3421,3423,3,None,"Student Net Worth of Current Investments Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
412,N/A ,3424,3426,3,None,"Student Total of Cash, Savings, and Checking Accounts Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
413,N/A ,3427,3429,3,None,"Student College #1 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
414,N/A ,3430,3432,3,None,"Student College #2 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
415,N/A ,3433,3435,3,None,"Student College #3 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
416,N/A ,3436,3438,3,None,"Student College #4 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
417,N/A ,3439,3441,3,None,"Student College #5 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
418,N/A ,3442,3444,3,None,"Student College #6 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
419,N/A ,3445,3447,3,None,"Student College #7 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
420,N/A ,3448,3450,3,None,"Student College #8 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
421,N/A ,3451,3453,3,None,"Student College #9 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
422,N/A ,3454,3456,3,None,"Student College #10 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
423,N/A ,3457,3459,3,None,"Student College #11 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
424,N/A ,3460,3462,3,None,"Student College #12 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
425,N/A ,3463,3465,3,None,"Student College #13 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
426,N/A ,3466,3468,3,None,"Student College #14 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
427,N/A ,3469,3471,3,None,"Student College #15 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
428,N/A ,3472,3474,3,None,"Student College #16 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
429,N/A ,3475,3477,3,None,"Student College #17 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
430,N/A ,3478,3480,3,None,"Student College #18 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
431,N/A ,3481,3483,3,None,"Student College #19 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
432,N/A ,3484,3486,3,None,"Student College #20 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
433,N/A ,3487,3489,3,None,"Student Consent to Retrieve and Disclose FTI Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
434,N/A ,3490,3492,3,None,"Student Signature Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
435,N/A ,3493,3495,3,None,"Student Signature Date Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
436,N/A ,3496,3498,3,None,"Student Spouse First Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
437,N/A ,3499,3501,3,None,"Student Spouse Middle Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
438,N/A ,3502,3504,3,None,"Student Spouse Last Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
439,N/A ,3505,3507,3,None,"Student Spouse Suffix Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
440,N/A ,3508,3510,3,None,"Student Spouse Date of Birth Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
441,N/A ,3511,3513,3,None,"Student Spouse Social Security Number Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
442,N/A ,3514,3516,3,None,"Student Spouse ITIN Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
443,N/A ,3517,3519,3,None,"Student Spouse Phone Number Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
444,N/A ,3520,3522,3,None,"Student Spouse Email Address Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
445,N/A ,3523,3525,3,None,"Student Spouse Street Address Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
446,N/A ,3526,3528,3,None,"Student Spouse City Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
447,N/A ,3529,3531,3,None,"Student Spouse State Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
448,N/A ,3532,3534,3,None,"Student Spouse Zip Code Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
449,N/A ,3535,3537,3,None,"Student Spouse Country Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
450,N/A ,3538,3540,3,None,"Student Spouse Filed 1040 or 1040NR? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
451,N/A ,3541,3543,3,None,"Student Spouse Filed non-U.S. tax return? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
452,N/A ,3544,3546,3,None,"Student Spouse Tax Return Filing Status Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
453,N/A ,3547,3549,3,None,"Student Spouse Income Earned from Work Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
454,N/A ,3550,3552,3,None,"Student Spouse Tax Exempt Interest Income Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
455,N/A ,3553,3555,3,None,"Student Spouse Untaxed Portions of IRA Distributions Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
456,N/A ,3556,3558,3,None,"Student Spouse IRA Rollover Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
457,N/A ,3559,3561,3,None,"Student Spouse Untaxed Portions of Pensions Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
458,N/A ,3562,3564,3,None,"Student Spouse Pension Rollover Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
459,N/A ,3565,3567,3,None,"Student Spouse Adjusted Gross Income Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
460,N/A ,3568,3570,3,None,"Student Spouse Income Tax Paid Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
461,N/A ,3571,3573,3,None,"Student Spouse Deductible Payments to IRA, Keogh, Other Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
462,N/A ,3574,3576,3,None,"Student Spouse Education Credits Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
463,N/A ,3577,3579,3,None,"Student Spouse Filed Schedule A, B, D, E, F or H? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
464,N/A ,3580,3582,3,None,"Student Spouse Schedule C Amount Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
465,N/A ,3583,3585,3,None,"Student Spouse Foreign Earned Income Exclusion Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
466,N/A ,3586,3588,3,None,"Student Spouse Consent to Retrieve and Disclose FTI Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
467,N/A ,3589,3591,3,None,"Student Spouse Signature Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
468,N/A ,3592,3594,3,None,"Student Spouse Signature Date Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
469,N/A ,3595,3597,3,None,"Parent First Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
470,N/A ,3598,3600,3,None,"Parent Middle Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
471,N/A ,3601,3603,3,None,"Parent Last Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
472,N/A ,3604,3606,3,None,"Parent Suffix Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
473,N/A ,3607,3609,3,None,"Parent Date of Birth Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
474,N/A ,3610,3612,3,None,"Parent Social Security Number Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
475,N/A ,3613,3615,3,None,"Parent ITIN Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
476,N/A ,3616,3618,3,None,"Parent Phone Number Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
477,N/A ,3619,3621,3,None,"Parent Email Address Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
478,N/A ,3622,3624,3,None,"Parent Street Address Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
479,N/A ,3625,3627,3,None,"Parent City Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
480,N/A ,3628,3630,3,None,"Parent State Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
481,N/A ,3631,3633,3,None,"Parent Zip Code Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
482,N/A ,3634,3636,3,None,"Parent Country Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
483,N/A ,3637,3639,3,None,"Parent Marital Status Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
484,N/A ,3640,3642,3,None,"Parent State of Legal Residence Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
485,N/A ,3643,3645,3,None,"Parent Legal Residence Date Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
486,N/A ,3646,3648,3,None,"Parent Updated Family Size Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
487,N/A ,3649,3651,3,None,"Parent Number in College Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
488,N/A ,3652,3654,3,None,"Parent Received EITC? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
489,N/A ,3655,3657,3,None,"Parent Received Federal Housing Assistance? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
490,N/A ,3658,3660,3,None,"Parent Received Free/Reduced Price Lunch? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
491,N/A ,3661,3663,3,None,"Parent Received Medicaid? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
492,N/A ,3664,3666,3,None,"Parent Received Refundable Credit for 36B Health Plan? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
493,N/A ,3667,3669,3,None,"Parent Received SNAP? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
494,N/A ,3670,3672,3,None,"Parent Received Supplemental Security Income? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
495,N/A ,3673,3675,3,None,"Parent Received TANF? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
496,N/A ,3676,3678,3,None,"Parent Received WIC? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
497,N/A ,3679,3681,3,None,"Parent None of the Above (Federal Benefits) Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
498,N/A ,3682,3684,3,None,"Parent Filed 1040 or 1040NR? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
499,N/A ,3685,3687,3,None,"Parent Filed non-U.S. tax return? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
500,N/A ,3688,3690,3,None,"Parent Filed Joint Return With Current Spouse? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
501,N/A ,3691,3693,3,None,"Parent Tax Return Filing Status Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
502,N/A ,3694,3696,3,None,"Parent Income Earned from Work Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
503,N/A ,3697,3699,3,None,"Parent Tax Exempt Interest Income Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
504,N/A ,3700,3702,3,None,"Parent Untaxed Portions of IRA Distributions Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
505,N/A ,3703,3705,3,None,"Parent IRA Rollover Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
506,N/A ,3706,3708,3,None,"Parent Untaxed Portions of Pensions Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
507,N/A ,3709,3711,3,None,"Parent Pension Rollover Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
508,N/A ,3712,3714,3,None,"Parent Adjusted Gross Income Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
509,N/A ,3715,3717,3,None,"Parent Income Tax Paid Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
510,N/A ,3718,3720,3,None,"Parent Earned Income Tax Credit Received During Tax Year? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
511,N/A ,3721,3723,3,None,"Parent Deductible Payments to IRA, Keogh, Other Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
512,N/A ,3724,3726,3,None,"Parent Education Credits Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
513,N/A ,3727,3729,3,None,"Parent Filed Schedule A, B, D, E, F or H? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
514,N/A ,3730,3732,3,None,"Parent Schedule C Amount Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
515,N/A ,3733,3735,3,None,"Parent College Grant and Scholarship Aid Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
516,N/A ,3736,3738,3,None,"Parent Foreign Earned Income Exclusion Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
517,N/A ,3739,3741,3,None,"Parent Child Support Received Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
518,N/A ,3742,3744,3,None,"Parent Net Worth of Current Investments Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
519,N/A ,3745,3747,3,None,"Parent Total of Cash, Savings, and Checking Accounts Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
520,N/A ,3748,3750,3,None,"Parent Net Worth of Businesses and Investment Farms Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
521,N/A ,3751,3753,3,None,"Parent Consent to Retrieve and Disclose FTI Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
522,N/A ,3754,3756,3,None,"Parent Signature Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
523,N/A ,3757,3759,3,None,"Parent Signature Date Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
524,N/A ,3760,3762,3,None,"Parent Spouse or Partner First Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
525,N/A ,3763,3765,3,None,"Parent Spouse or Partner Middle Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
526,N/A ,3766,3768,3,None,"Parent Spouse or Partner Last Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
527,N/A ,3769,3771,3,None,"Parent Spouse or Partner Suffix Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
528,N/A ,3772,3774,3,None,"Parent Spouse or Partner Date of Birth Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
529,N/A ,3775,3777,3,None,"Parent Spouse or Partner Social Security Number Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
530,N/A ,3778,3780,3,None,"Parent Spouse or Partner ITIN Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
531,N/A ,3781,3783,3,None,"Parent Spouse or Partner Phone Number Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
532,N/A ,3784,3786,3,None,"Parent Spouse or Partner Email Address Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
533,N/A ,3787,3789,3,None,"Parent Spouse or Partner Street Address Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
534,N/A ,3790,3792,3,None,"Parent Spouse or Partner City Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
535,N/A ,3793,3795,3,None,"Parent Spouse or Partner State Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
536,N/A ,3796,3798,3,None,"Parent Spouse or Partner Zip Code Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
537,N/A ,3799,3801,3,None,"Parent Spouse or Partner Country Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
538,N/A ,3802,3804,3,None,"Parent Spouse or Partner Filed 1040 or 1040NR? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
539,N/A ,3805,3807,3,None,"Parent Spouse or Partner Filed non-U.S. tax return? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
540,N/A ,3808,3810,3,None,"Parent Spouse or Partner Tax Return Filing Status Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
541,N/A ,3811,3813,3,None,"Parent Spouse or Partner Income Earned from Work Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
542,N/A ,3814,3816,3,None,"Parent Spouse or Partner Tax Exempt Interest Income Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
543,N/A ,3817,3819,3,None,"Parent Spouse or Partner Untaxed Portions of IRA Distributions Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
544,N/A ,3820,3822,3,None,"Parent Spouse or Partner IRA Rollover Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
545,N/A ,3823,3825,3,None,"Parent Spouse or Partner Untaxed Portions of Pensions Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
546,N/A ,3826,3828,3,None,"Parent Spouse or Partner Pension Rollover Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
547,N/A ,3829,3831,3,None,"Parent Spouse or Partner Adjusted Gross Income Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
548,N/A ,3832,3834,3,None,"Parent Spouse or Partner Income Tax Paid Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
549,N/A ,3835,3837,3,None,"Parent Spouse or Partner Deductible Payments to IRA, Keogh, Other Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
550,N/A ,3838,3840,3,None,"Parent Spouse or Partner Education Credits Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
551,N/A ,3841,3843,3,None,"Parent Spouse or Partner Filed Schedule A, B, D, E, F or H? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
552,N/A ,3844,3846,3,None,"Parent Spouse or Partner Schedule C Amount Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
553,N/A ,3847,3849,3,None,"Parent Spouse or Partner Foreign Earned Income Exclusion Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
554,N/A ,3850,3852,3,None,"Parent Spouse or Partner Consent to Retrieve and Disclose FTI Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
555,N/A ,3853,3855,3,None,"Parent Spouse or Partner Signature Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
556,N/A ,3856,3858,3,None,"Parent Spouse or Partner Signature Date Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
Matches and Other Processing Information ,,,,,,,,
557,N/A ,3859,3859,1,None,DHS Primary Match Status,"Y = Confirmed eligible noncitizen
N = Not confirmed eligible noncitizen
P = Pending
D = Duplicate Case
I = Invalid A-Number
S = Not sent
Blank = Not needed",
558,N/A ,3860,3860,1,Changed to Filler,Filler,For Federal Student Aid use only,
559,N/A ,3861,3875,15,None,DHS Case Number,"Format is 9999999999999XX; where 9 = Numerals 0 to 9, and 
X = Uppercase letters A to Z
Blank ",
560,N/A ,3876,3876,1,None,NSLDS Match Status ,"1 = Eligible for Title IV Aid
2 = Default
3 = Overpayment
4 = Default and overpayment 
5 = Processed in Realtime
7 = Match and no data provided
8 = Not sent 
Blank",
561,N/A ,3877,3882,6,None,NSLDS Postscreening Reason Code ,"01 = Default added 
02 = Overpayment added 
03 = Default resolved 
04 = Overpayment resolved 
05 = Master Promissory Note status change 
06 = Loan went into disability discharged status 
07 = Loan out of disability discharged status 
08 = Closed school 
09 = Exceeded subsidized loan limit 
10 = Exceeded combined loan limit 
11 = Exceeding subsidized loan limit resolved 
12 = Exceeding combined loan limit resolved 
13 = For Federal Student Aid use only 
14 = Loan entered active bankruptcy 
15 = PLUS Master Promissory Note status change 
16 = Grad PLUS Master Promissory Note status change 
17 = Fraud conviction added 
18 = Fraud conviction resolved 
19 = TEACH Grant converted to a loan 
20 = Pell eligible and met or exceeded Pell lifetime limit 
21 = No longer meeting or exceeding Pell lifetime limit 
22 = Pell eligible and close to Pell lifetime limit 
23 = No longer close to Pell lifetime limit 
24 = Unusual enrollment history status change 
25 = Subsidized Usage Limit Applies Flag status change 
26 = Confirmed loan subsidy status change 
27 = Decrease in Subsidized usage period 
99 = Other 
Blank = Not an NSLDS postscreening transaction",
562,N/A ,3883,3883,1,None,Student SSA Citizenship Flag Results ,"A = U.S. citizen 
B = Legal alien, eligible to work 
C = Legal alien, not eligible to work 
D = Other
E = Alien, student restricted, work authorized 
F = Conditionally legalized alien 
N = Unable to confirm citizenship due to no match on SSN, name or date of birth 
* = Foreign 
Blank = Domestic born (U.S. citizen) if Student SSA Match Status equals 4 or No match conducted if SSA Match Status does not equal 4 ",
563,N/A ,3884,3884,1,None,Student SSA Match Status,"1 = Not found by SSA
2 = DOB mismatch
3 = Name mismatch
4 = Full match
5 = Deceased
6 = SSN not verified
8 = Not sent
9 = Not needed 
Blank",
564,N/A ,3885,3885,1,None,Student Spouse SSA Match Status,"1 = Not found by SSA
2 = DOB mismatch
3 = Name mismatch
4 = Full match
5 = Deceased
6 = SSN not verified
8 = Not sent
9 = Not needed 
Blank",
565,N/A ,3886,3886,1,None,Parent SSA Match Status ,"1 = Not found by SSA
2 = DOB mismatch
3 = Name mismatch
4 = Full match
5 = Deceased
6 = SSN not verified
8 = Not sent
9 = Not needed 
Blank",
566,N/A ,3887,3887,1,None,Parent Spouse or Partner SSA Match Status,"1 = Not found by SSA
2 = DOB mismatch
3 = Name mismatch
4 = Full match
5 = Deceased
6 = SSN not verified
8 = Not sent
9 = Not needed
Blank ",
567,N/A ,3888,3888,1,None,VA Match Flag,"1 = Confirmed 
2 = Not Qualifying Veteran
3 = Not found by VA
4 = Active Duty
8 = Not sent
Blank = Not needed ",
568,N/A ,3889,3948,60,None,Comment Codes ,Twenty 3-digit numeric comment codes,
569,N/A ,3949,3949,1,None,Drug Abuse Hold Indicator,"J = Record placed on hold by Dept. of Justice
S = Record released from hold
Blank = Not on hold",
570,N/A ,3950,3950,1,Revised the year reference in the valid content,Graduate Flag,"Y = Yes response to First Bachelor’s Degree By 07-01-2025 question and/or graduate status question 
Blank = Graduate flag not set ",
571,N/A ,3951,3951,1,None,Pell Grant Eligibility Flag,"Y = This transaction determined eligible for a Federal Pell Grant 
Blank = This transaction determined ineligible for a Federal Pell Grant ",
572,N/A ,3952,3953,2,None,Reprocessed Reason Code ,"01 to 99 
01 = Reprocessed due to change in the Pell Maximum SAI
50 = System-generated from the match bypass process 
Blank = Not a reprocessed transaction ",
573,N/A ,3954,3954,1,None,FPS C Flag,"Y = FPS C flag set, resolution required on one or more match results 
Blank = No flag set ",
574,N/A ,3955,3955,1,None,FPS C Change Flag,"Y = FPS C flag has changed 
Blank = No change to FPS C flag ",
